OOdist,OHOangle,E_hartree,E_kcalmol,E_kcalmol_scaled
2.5,126.3,-152.8691969147287,-95925.42106399225,-3.6456737476908785
2.5,126.4,-152.8692228,-95925.43730699999,-3.661916755430923
2.5,126.5,-152.8692488,-95925.453622,-3.6782317554432353
2.5,126.6,-152.8692748,-95925.469937,-3.694546755437713
2.5,126.7,-152.8693008,-95925.48625199999,-3.710861755432191
2.5,126.8,-152.8693268,-95925.502567,-3.7271767554445034
2.5,126.9,-152.8693528,-95925.518882,-3.7434917554389813
2.5,127.0,-152.8693788,-95925.53519699999,-3.759806755433459
2.5,127.1,-152.8694048,-95925.551512,-3.7761217554457716
2.5,127.2,-152.8694308,-95925.567827,-3.7924367554402494
2.5,127.3,-152.8694568,-95925.58414199999,-3.808751755434727
2.5,127.4,-152.86948280000001,-95925.60045700001,-3.8250667554470397
2.5,127.5,-152.8695088,-95925.61677200001,-3.8413817554415175
2.5,127.6,-152.8695348,-95925.633087,-3.8576967554359953
2.5,127.7,-152.8695610909091,-95925.64958454545,-3.8741943008903945
2.5,127.8,-152.86958745454547,-95925.66612772728,-3.8907374827186914
2.5,127.9,-152.86961381818182,-95925.6826709091,-3.9072806645291536
2.5,128.0,-152.86964018181817,-95925.6992140909,-3.923823846339616
2.5,128.1,-152.86966654545455,-95925.71575727273,-3.9403670281679126
2.5,128.2,-152.8696929090909,-95925.73230045455,-3.956910209978375
2.5,128.3,-152.86971927272728,-95925.74884363636,-3.9734533918066717
2.5,128.4,-152.86974563636363,-95925.76538681818,-3.989996573617134
2.5,128.5,-152.869772,-95925.78193000001,-4.006539755445431
2.5,128.6,-152.86979836363636,-95925.79847318181,-4.023082937255893
2.5,128.7,-152.86982472727274,-95925.81501636365,-4.03962611908419
2.5,128.8,-152.8698510909091,-95925.83155954546,-4.056169300894652
2.5,128.9,-152.86987745454545,-95925.84810272726,-4.072712482705114
2.5,129.0,-152.86990411940297,-95925.86483492536,-4.0894446808046325
2.5,129.1,-152.86993098507463,-95925.88169313433,-4.1063028897694664
